,return,VaR_RM,VaR_GN,VaR_HS,VaR_EVT
583,-3.081908012,0,0,0,0
584,-6.798734098,0,0,0,0
585,1.496287268,0,0,0,0
586,-0.330578813,0,0,0,0
587,0,0,0,0,0
588,5.945525899,0,0,0,0
589,-2.527780718,0,0,0,0
590,-3.087166367,0,0,0,0
591,-1.665163359,0,0,0,0
592,1.113184037,0,0,0,0
593,-3.951595969,0,0,0,0
594,1.712696479,0,0,0,0
595,3.885780261,0,0,0,0
596,9.514517692,0,0,0,0
597,8.384354843,0,0,0,0
598,-0.456274556,0,0,0,0
599,2.260834803,0,0,0,0
600,-6.62289705,0,0,0,0
601,9.55996573,0,0,0,0
602,4.388531513,0,0,0,0
603,0.276625349,0,0,0,0
604,-2.376072649,0,0,0,0
605,1.960847139,0,0,0,0
606,-1.678361075,0,0,0,0
607,3.465350208,0,0,0,0
608,-2.762606627,0,0,0,0
609,-5.321168943,0,0,0,0
610,0,0,0,0,0
611,2.046855086,0,0,0,0
612,1.863853239,0,0,0,0
613,-3.174869831,0,0,0,0
614,-4.345252857,0,0,0,0
615,-1.698882559,0,0,0,0
616,3.670136685,0,0,0,0
617,0.2998503,0,0,0,0
618,2.804611869,0,0,0,0
619,-0.14566645,0,0,0,0
620,1.303421784,0,0,0,0
621,1.002155846,0,0,0,0
622,-0.285306898,0,0,0,0
623,0.711746777,0,0,0,0
624,-0.854706058,0,0,0,0
625,0.570614958,0,0,0,0
626,0.2840911,0,0,0,0
627,4.710011814,0,0,0,0
628,7.931380672,0,0,0,0
629,-7.391568295,0,0,0,0
630,0.536914042,0,0,0,0
631,-0.671594197,0,0,0,0
632,0.671594197,0,0,0,0
633,-2.439145312,0,0,0,0
634,-0.412371718,0,0,0,0
635,4.445176257,0,0,0,0
636,0.918039234,0,0,0,0
637,2.831592012,0,0,0,0
638,-1.921904127,0,0,0,0
639,1.921904127,0,0,0,0
640,-3.881470422,0,0,0,0
641,7.25047276,0,0,0,0
642,-1.234583582,0,0,0,0
643,-2.2614029,0,0,0,0
644,1.888035945,0,0,0,0
645,2.097547599,0,0,0,0
646,3.12525435,0,0,0,0
647,1.410129124,0,0,0,0
648,-0.350672481,0,0,0,0
649,-1.533953382,0,0,0,0
650,5.212529063,0,0,0,0
651,-2.51441818,0,0,0,0
652,3.301381207,0,0,0,0
653,7.442786979,0,0,0,0
654,7.507275756,0,0,0,0
655,-5.551474866,0,0,0,0
656,-9.398587869,0,0,0,0
657,1.885801863,0,0,0,0
658,0.984152284,0,0,0,0
659,3.10683799,0,0,0,0
660,1.049327572,0,0,0,0
661,-3.073903916,0,0,0,0
662,2.864917424,0,0,0,0
663,7.746455607,0,0,0,0
664,-2.747964863,0,0,0,0
665,-3.03053495,0,0,0,0
666,3.03053495,0,0,0,0
667,1.481508579,0,0,0,0
668,4.411069845,0,0,0,0
669,-0.093852658,0,0,0,0
670,3.324405858,0,0,0,0
671,-7.936174067,0,0,0,0
672,-7.660712147,0,0,0,0
673,-2.146005102,0,0,0,0
674,-2.415046023,0,0,0,0
675,0.221975674,0,0,0,0
676,0.221484033,0,0,0,0
677,0.771353687,0,0,0,0
678,0.547346741,0,0,0,0
679,1.409237414,0,0,0,0
680,-3.840296364,0,0,0,0
681,-3.761127075,0,0,0,0
682,-5.859416427,0,0,0,0
683,0.98040001,0,0,0,0
684,7.402086035,0,0,0,0
685,-6.552050558,0,0,0,0
686,1.678696495,0,0,0,0
687,2.001243952,0,0,0,0
688,4.110167569,0,0,0,0
689,1.553860343,0,0,0,0
690,4.205471458,0,0,0,0
691,-0.848361398,0,0,0,0
692,-3.13708797,0,0,0,0
693,0.219539056,0,0,0,0
694,-3.344793407,0,0,0,0
695,1.015237146,0,0,0,0
696,-0.901922687,0,0,0,0
697,1.349851767,0,0,0,0
698,-8.751937802,0,0,0,0
699,2.171376022,0,0,0,0
700,2.823717018,0,0,0,0
701,0.46296379,0,0,0,0
702,1.717271737,0,0,0,0
703,-1.026820203,0,0,0,0
704,1.14026321,0,0,0,0
705,-2.758795652,0,0,0,0
706,-0.233372335,0,0,0,0
707,1.622283551,0,0,0,0
708,-4.345956948,0,0,0,0
709,-0.843886865,0,0,0,0
710,0.12099215,0,0,0,0
711,-2.200577797,0,0,0,0
712,0.246913706,0,0,0,0
713,1.347234094,0,0,0,0
714,1.329324711,0,0,0,0
715,0,0,0,0,0
716,2.372590532,0,0,0,0
717,1.396995944,0,0,0,0
718,0.691246992,0,0,0,0
719,3.275278647,0,0,0,0
720,-1.005033585,0,0,0,0
721,-2.615271281,0,0,0,0
722,-4.597155953,0,0,0,0
723,1.674680287,0,0,0,0
724,-0.356506616,0,0,0,0
725,0.118976814,0,0,0,0
726,0.356083462,0,0,0,0
727,0.825963398,0,0,0,0
728,4.705400401,0,0,0,0
729,0.781690189,0,0,0,0
730,-1.456608387,0,0,0,0
731,2.672764891,0,0,0,0
732,0.547946576,0,0,0,0
733,-4.813464137,0,0,0,0
734,3.603993648,0,0,0,0
735,-2.011240979,0,0,0,0
736,0.225479239,0,0,0,0
737,2.227263561,0,0,0,0
738,2.608843608,0,0,0,0
739,-0.645858004,0,0,0,0
740,0.323450417,0,0,0,0
741,3.69825558,0,0,0,0
742,1.032000903,0,0,0,0
743,4.22173245,0,0,0,0
744,0.588814263,0,0,0,0
745,0.876771325,0,0,0,0
746,3.806358643,0,0,0,0
747,-0.093414299,0,0,0,0
748,-4.199090173,0,0,0,0
749,9.566453842,0,0,0,0
750,-0.177305011,0,0,0,0
751,7.436145758,0,0,0,0
752,2.80579528,0,0,0,0
753,-0.594649919,0,0,0,0
754,5.511302768,0,0,0,0
755,1.029489673,0,0,0,0
756,6.314089687,0,0,0,0
757,-1.142869582,0,0,0,0
758,2.099814684,0,0,0,0
759,-5.425963997,0,0,0,0
760,-2.592737826,0,0,0,0
761,2.866585555,0,0,0,0
762,1.806733879,0,0,0,0
763,0.089485465,0,0,0,0
764,0.267976936,0,0,0,0
765,4.874768419,0,0,0,0
766,-8.323386026,0,0,0,0
767,-5.993234072,0,0,0,0
768,-3.086357466,0,0,0,0
769,2.594955985,0,0,0,0
770,-1.388911216,0,0,0,0
771,1.782225391,0,0,0,0
772,-3.800457366,0,0,0,0
773,-7.183657897,0,0,0,0
774,-6.3297962,0,0,0,0
775,-0.116754246,0,0,0,0
776,1.96651797,0,0,0,0
777,0.228833052,0,0,0,0
778,-2.781175778,0,0,0,0
779,0.585824757,0,0,0,0
780,1.161453242,0,0,0,0
781,0.919546709,0,0,0,0
782,1.589136734,0,0,0,0
783,-1.132514936,0,0,0,0
784,-0.685716973,0,0,0,0
785,-0.805991698,0,0,0,0
786,-0.929158833,0,0,0,0
787,-2.003602676,0,0,0,0
788,0,0,0,0,0
789,-1.197619105,0,0,0,0
790,-1.212136053,0,0,0,0
791,1.33254546,0,0,0,0
792,-1.69907,0,0,0,0
793,-3.883983332,0,0,0,0
794,1.960847139,0,0,0,0
795,0,0,0,0,0
796,-0.695897032,0,0,0,0
797,1.524631057,0,0,0,0
798,-3.784614249,0,0,0,0
799,0,0,0,0,0
800,-1.583906403,0,0,0,0
801,4.816795115,0,0,0,0
802,-1.112667946,0,0,0,0
803,0,0,0,0,0
804,-1.408473988,0,0,0,0
805,-1.284814248,0,0,0,0
806,-2.472853278,0,0,0,0
807,-0.147383962,0,0,0,0
808,0.881062968,0,0,0,0
809,-0.439561147,0,0,0,0
810,1.602364947,0,0,0,0
811,2.144471028,0,0,0,0
812,-1.711882033,0,0,0,0
813,0.859604147,0,0,0,0
814,-0.859604147,0,0,0,0
815,-1.157755334,0,0,0,0
816,0.145454571,0,0,0,0
817,-1.907614706,0,0,0,0
818,2.197890672,0,0,0,0
819,1.581628944,0,0,0,0
820,4.053664711,0,0,0,0
821,-0.411805661,0,0,0,0
822,1.637144341,0,0,0,0
823,-1.225338681,0,0,0,0
824,0,0,0,0,0
825,0.954335805,0,0,0,0
826,-2.472653447,0,0,0,0
827,-2.39279537,0,0,0,0
828,-3.478611609,0,0,0,0
829,1.609398307,0,0,0,0
830,0.723068949,0,0,0,0
831,4.92017715,0,0,0,0
832,-2.35958206,0,0,0,0
833,-0.98801086,0,0,0,0
834,1.966355491,0,0,0,0
835,0.416378117,0,0,0,0
836,0.414651596,0,0,0,0
837,-0.970208581,0,0,0,0
838,1.657496509,0,0,0,0
839,2.969178981,0,0,0,0
840,-0.667113882,0,0,0,0
841,0.133779284,0,0,0,0
842,-3.676384069,0,0,0,0
843,0,0,0,0,0
844,0.553251757,0,0,0,0
845,2.047853134,0,0,0,0
846,0.941499893,0,0,0,0
847,-1.347729294,0,0,0,0
848,-0.407886357,0,0,0,0
849,1.21870161,0,0,0,0
