股票代码_StkCd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_TMV_H
603067,2019/07/31,1.2087
603067,2019/08/30,1.1846
603067,2019/09/30,1.3278
603067,2019/10/31,1.1948
603067,2019/11/29,1.1657
603067,2019/12/31,1.212
603067,2020/01/23,1.2392
603067,2020/02/28,1.2838
603067,2020/03/31,0.6422
603067,2020/04/30,0.9488
603067,2020/05/29,1.1396
603067,2020/06/30,1.2806
603067,2020/07/24,1.6769
603067,2020/08/31,1.6188
603067,2020/09/30,1.5803
603067,2020/10/30,1.574
603067,2020/11/30,1.5372
603067,2020/12/31,1.5016
603067,2021/01/29,1.5429
603067,2021/02/26,1.3504
603067,2021/03/31,1.3535
603067,2021/04/30,1.4204
603067,2021/05/31,1.3749
603067,2021/06/30,1.3166
603067,2021/07/30,-1.2992
603067,2021/08/31,-0.2089
603067,2021/09/30,-0.9698
603067,2021/10/29,-0.7764
603067,2021/11/30,-0.9519
603067,2021/12/31,-1.3163
603068,2020/04/30,-0.6457
603068,2020/05/29,-0.3186
603068,2020/06/30,0.1322
603068,2020/07/31,-0.2369
603068,2020/08/31,0.2921
603068,2020/09/30,0.4479
603068,2020/10/30,0.4612
603068,2020/11/30,0.7415
603068,2020/12/31,0.7962
603068,2021/01/29,1.1547
603068,2021/02/26,1.3513
603068,2021/03/31,1.2746
603068,2021/04/30,1.1846
603068,2021/05/31,1.3697
603068,2021/06/30,1.06
603068,2021/07/30,2.1492
603068,2021/08/31,1.5266
603068,2021/09/30,1.2628
603068,2021/10/29,1.1325
603068,2021/11/30,0.0268
603068,2021/12/31,-0.5989
603069,2017/07/31,2.5744
603069,2017/08/31,2.1686
603069,2017/09/29,1.5398
603069,2017/10/31,1.4403
603069,2017/11/30,1.1191
603069,2017/12/29,0.5889
603069,2018/01/31,0.6815
603069,2018/02/28,1.2652
603069,2018/03/30,0.1995
603069,2018/04/27,0.5585
603069,2018/05/31,0.5361
603069,2018/06/29,1.0933
603069,2018/07/31,1.3104
603069,2018/08/31,1.2302
603069,2018/09/28,1.1396
603069,2018/10/31,1.1574
603069,2018/11/30,1.2387
603069,2018/12/28,1.2559
603069,2019/01/31,1.3005
603069,2019/02/28,1.3541
603069,2019/03/29,1.7176
603069,2019/04/30,1.5556
603069,2019/05/31,1.4664
603069,2019/06/28,1.3936
603069,2019/07/31,1.4325
603069,2019/08/30,1.3497
603069,2019/09/30,1.3837
603069,2019/10/31,1.3049
603069,2019/11/29,1.1871
603069,2019/12/31,1.4711
603069,2020/01/23,1.0532
603069,2020/02/28,1.4769
603069,2020/03/31,1.7488
603069,2020/04/30,1.0265
603069,2020/05/29,0.7149
603069,2020/06/30,0.5716
603069,2020/07/31,10.7244
603069,2020/08/31,10.1947
603069,2020/09/30,9.8778
603069,2020/10/30,9.9598
603069,2020/11/30,9.351
603069,2020/12/31,9.7097
603069,2021/01/29,10.9384
603069,2021/02/26,11.5285
603069,2021/03/31,12.3342
603069,2021/04/30,12.7529
603069,2021/05/31,12.517
603069,2021/06/30,12.8034
603069,2021/07/30,0.7445
603069,2021/08/31,1.2562
603069,2021/09/30,0.2579
603069,2021/10/29,0.3331
603069,2021/11/30,0.8919
603069,2021/12/31,0.4857
603076,2018/11/30,0.0745
603076,2018/12/28,0.0641
603076,2019/01/31,0.0501
603076,2019/02/28,0.5086
603076,2019/03/29,0.6997
603076,2019/04/30,0.7375
603076,2019/05/31,0.6214
603076,2019/06/28,0.688
603076,2019/07/31,0.6203
603076,2019/08/30,0.2809
603076,2019/09/30,0.3457
603076,2019/10/31,1.1669
603076,2019/11/29,1.0685
603076,2019/12/31,1.2699
603076,2020/01/23,1.4659
603076,2020/02/28,1.4617
603076,2020/03/31,1.2656
603076,2020/04/30,1.5662
603076,2020/05/29,2.0351
603076,2020/06/30,2.2299
603076,2020/07/31,1.8684
603076,2020/08/31,2.0915
603076,2020/09/30,2.5127
603076,2020/10/30,2.533
603076,2020/11/30,2.3815
603076,2020/12/31,2.4735
603076,2021/01/29,2.5018
603076,2021/02/26,2.4598
603076,2021/03/31,2.4344
603076,2021/04/30,2.13
603076,2021/05/31,1.8478
603076,2021/06/30,1.6407
603076,2021/07/30,2.9567
603076,2021/08/31,1.4338
603076,2021/09/30,0.1696
603076,2021/10/29,0.1545
603076,2021/11/30,-0.2953
603076,2021/12/31,-0.8099
603077,2013/07/31,1.9987
603077,2013/08/30,2.2568
603077,2013/09/10,2.2377
603077,2013/11/29,2.1599
603077,2013/12/31,2.0593
603077,2014/01/30,2.2192
603077,2014/02/28,2.2997
603077,2014/03/31,2.2996
603077,2014/04/30,2.4113
603077,2014/05/30,2.2434
603077,2014/06/30,2.0488
603077,2014/07/31,1.647
603077,2014/08/29,1.568
603077,2014/09/30,1.4029
603077,2014/10/31,1.4366
603077,2014/11/28,1.435
603077,2014/12/31,-0.1454
603077,2015/01/30,-0.3195
603077,2015/02/27,-0.284
603077,2015/03/31,-0.1384
603077,2015/04/30,0.3894
603077,2015/05/29,-0.1436
603077,2015/06/30,0.3589
