,date,close,dret,yearmonth
1969,2009-02-11,4.69,-0.0270,200902
1970,2009-02-12,4.70,0.0021,200902
1971,2009-02-13,5.17,0.1000,200902
1972,2009-02-16,5.19,0.0039,200902
1973,2009-02-17,5.63,0.0848,200902
1974,2009-02-18,5.79,0.0284,200902
1975,2009-02-19,5.87,0.0138,200902
1976,2009-02-20,5.90,0.0051,200902
1977,2009-02-23,6.49,0.1000,200902
1978,2009-02-24,6.29,-0.0308,200902
1979,2009-02-25,6.52,0.0366,200902
1980,2009-02-26,5.87,-0.0997,200902
1981,2009-02-27,5.28,-0.1005,200902
1982,2009-03-02,5.07,-0.0398,200903
1983,2009-03-03,5.09,0.0039,200903
1984,2009-03-04,5.45,0.0707,200903
1985,2009-03-05,5.50,0.0092,200903
1986,2009-03-06,5.36,-0.0255,200903
1987,2009-03-09,4.88,-0.0896,200903
1988,2009-03-10,5.10,0.0451,200903
1989,2009-03-11,4.99,-0.0216,200903
1990,2009-03-12,5.15,0.0321,200903
1991,2009-03-13,5.06,-0.0175,200903
1992,2009-03-16,5.57,0.1008,200903
1994,2009-03-18,5.67,0.0180,200903
1995,2009-03-19,5.74,0.0123,200903
1996,2009-03-20,5.62,-0.0209,200903
1997,2009-03-23,5.66,0.0071,200903
1998,2009-03-24,5.99,0.0583,200903
1999,2009-03-25,5.72,-0.0451,200903
2000,2009-03-26,5.82,0.0175,200903
2001,2009-03-27,5.81,-0.0017,200903
2002,2009-03-30,5.81,0.0000,200903
2003,2009-03-31,5.78,-0.0052,200903
2004,2009-04-01,6.05,0.0467,200904
2005,2009-04-02,5.89,-0.0264,200904
2006,2009-04-03,5.73,-0.0272,200904
2007,2009-04-07,5.71,-0.0035,200904
2008,2009-04-08,5.55,-0.0280,200904
2009,2009-04-09,5.62,0.0126,200904
2010,2009-04-10,5.78,0.0285,200904
2012,2009-04-13,5.75,-0.0052,200904
2013,2009-04-14,5.93,0.0313,200904
2014,2009-04-15,6.16,0.0388,200904
2015,2009-04-16,5.99,-0.0276,200904
2016,2009-04-17,5.77,-0.0367,200904
2017,2009-04-20,6.35,0.1005,200904
2018,2009-04-21,6.35,0.0000,200904
2019,2009-04-22,5.82,-0.0835,200904
2020,2009-04-23,5.84,0.0034,200904
2021,2009-04-24,5.69,-0.0257,200904
2022,2009-04-27,5.48,-0.0369,200904
2023,2009-04-28,5.56,0.0146,200904
2024,2009-04-29,5.68,0.0216,200904
2025,2009-04-30,5.74,0.0106,200904
2026,2009-05-04,5.94,0.0348,200905
2027,2009-05-05,6.08,0.0236,200905
2029,2009-05-07,6.02,-0.0099,200905
2030,2009-05-08,6.31,0.0482,200905
2031,2009-05-11,5.99,-0.0507,200905
2032,2009-05-12,6.10,0.0184,200905
2033,2009-05-13,6.29,0.0311,200905
2034,2009-05-14,6.23,-0.0095,200905
2035,2009-05-15,6.16,-0.0112,200905
2036,2009-05-18,6.35,0.0308,200905
2037,2009-05-19,6.58,0.0362,200905
2038,2009-05-20,6.34,-0.0365,200905
2039,2009-05-21,6.13,-0.0331,200905
2040,2009-05-22,6.14,0.0016,200905
2041,2009-05-25,6.17,0.0049,200905
2042,2009-05-26,6.18,0.0016,200905
2043,2009-05-27,6.25,0.0113,200905
2044,2009-06-01,6.31,0.0096,200906
2045,2009-06-02,6.43,0.0190,200906
2046,2009-06-03,6.45,0.0031,200906
2047,2009-06-04,6.49,0.0062,200906
2048,2009-06-05,6.58,0.0139,200906
2049,2009-06-08,6.80,0.0334,200906
2050,2009-06-09,7.44,0.0941,200906
2051,2009-06-10,7.20,-0.0323,200906
2052,2009-06-11,6.99,-0.0292,200906
2053,2009-06-12,6.64,-0.0501,200906
2054,2009-06-15,6.88,0.0361,200906
2055,2009-06-16,6.76,-0.0174,200906
2056,2009-06-17,6.78,0.0030,200906
2057,2009-06-18,6.76,-0.0029,200906
2058,2009-06-19,6.77,0.0015,200906
2059,2009-06-22,6.92,0.0222,200906
2060,2009-06-23,6.91,-0.0014,200906
2061,2009-06-24,6.88,-0.0043,200906
2062,2009-06-25,6.70,-0.0262,200906
2063,2009-06-26,6.73,0.0045,200906
2064,2009-06-29,6.54,-0.0134,200906
2065,2009-06-30,6.59,0.0076,200906
2066,2009-07-01,6.69,0.0152,200907
2067,2009-07-02,6.65,-0.0060,200907
2068,2009-07-03,6.81,0.0241,200907
2069,2009-07-06,6.70,-0.0162,200907
2070,2009-07-07,6.58,-0.0179,200907
2071,2009-07-08,6.64,0.0091,200907
2072,2009-07-09,6.76,0.0181,200907
2073,2009-07-10,6.88,0.0178,200907
2074,2009-07-13,6.95,0.0102,200907
2075,2009-07-14,6.98,0.0043,200907
2076,2009-07-15,7.27,0.0415,200907
2077,2009-07-16,7.15,-0.0165,200907
2078,2009-07-17,7.15,0.0000,200907
2079,2009-07-20,7.14,-0.0014,200907
2080,2009-07-21,7.01,-0.0182,200907
2081,2009-07-22,7.00,-0.0014,200907
2082,2009-07-23,7.06,0.0086,200907
2083,2009-07-24,7.28,0.0312,200907
2084,2009-07-27,7.55,0.0371,200907
2085,2009-07-28,7.61,0.0079,200907
2086,2009-07-29,7.06,-0.0723,200907
2087,2009-07-30,7.12,0.0085,200907
2088,2009-07-31,7.40,0.0393,200907
2089,2009-08-03,7.41,0.0014,200908
2090,2009-08-04,7.35,-0.0081,200908
2091,2009-08-05,7.78,0.0585,200908
2092,2009-08-06,7.47,-0.0398,200908
2093,2009-08-07,7.12,-0.0469,200908
2094,2009-08-10,7.15,0.0042,200908
2095,2009-08-11,7.21,0.0084,200908
2096,2009-08-12,7.01,-0.0277,200908
2097,2009-08-13,7.12,0.0157,200908
2098,2009-08-14,6.61,-0.0716,200908
2099,2009-08-17,6.50,-0.0166,200908
2100,2009-08-18,6.64,0.0215,200908
2101,2009-08-19,6.47,-0.0256,200908
2102,2009-08-20,6.66,0.0294,200908
2103,2009-08-21,6.80,0.0210,200908
2104,2009-08-24,6.86,0.0088,200908
2105,2009-08-25,6.72,-0.0204,200908
2106,2009-08-26,6.79,0.0104,200908
2107,2009-08-27,6.75,-0.0059,200908
2108,2009-08-28,6.40,-0.0519,200908
2109,2009-08-31,5.77,-0.0984,200908
2110,2009-09-01,5.65,-0.0208,200909
2111,2009-09-02,5.68,0.0053,200909
2112,2009-09-03,5.99,0.0546,200909
2113,2009-09-04,6.05,0.0100,200909
2114,2009-09-07,6.09,0.0066,200909
2115,2009-09-08,6.70,0.1002,200909
2116,2009-09-09,6.59,-0.0164,200909
2117,2009-09-10,6.49,-0.0152,200909
2118,2009-09-11,6.67,0.0277,200909
2119,2009-09-14,7.34,0.1004,200909
2120,2009-09-15,7.17,-0.0232,200909
2122,2009-09-17,7.23,0.0084,200909
2123,2009-09-18,6.85,-0.0526,200909
2124,2009-09-21,7.01,0.0234,200909
2125,2009-09-22,6.69,-0.0456,200909
2126,2009-09-23,6.54,-0.0224,200909
2127,2009-09-24,6.45,-0.0138,200909
2128,2009-09-25,6.42,-0.0047,200909
2129,2009-09-28,6.15,-0.0421,200909
2130,2009-09-29,5.98,-0.0276,200909
2131,2009-09-30,5.99,0.0017,200909
2132,2009-10-09,6.30,0.0518,200910
2133,2009-10-12,6.31,0.0016,200910
2134,2009-10-13,6.47,0.0254,200910
2135,2009-10-14,6.55,0.0124,200910
2136,2009-10-15,6.66,0.0168,200910
2137,2009-10-16,6.63,-0.0045,200910
2138,2009-10-19,6.78,0.0226,200910
2139,2009-10-20,6.90,0.0177,200910
2140,2009-10-21,6.72,-0.0261,200910
2141,2009-10-22,6.71,-0.0015,200910
2142,2009-10-23,6.76,0.0075,200910
2143,2009-10-26,6.72,-0.0059,200910
2144,2009-10-27,6.41,-0.0461,200910
2145,2009-10-28,6.46,0.0078,200910
2146,2009-10-29,6.53,0.0108,200910
2147,2009-10-30,6.49,-0.0061,200910
2149,2009-11-02,6.91,0.0647,200911
2150,2009-11-03,7.60,0.0999,200911
2151,2009-11-04,8.36,0.1000,200911
2154,2009-11-09,9.20,0.1005,200911
2155,2009-11-10,8.71,-0.0533,200911
2156,2009-11-11,8.69,-0.0023,200911
2157,2009-11-12,8.52,-0.0196,200911
2158,2009-11-13,8.39,-0.0153,200911
2159,2009-11-16,8.49,0.0119,200911
2160,2009-11-17,8.68,0.0224,200911
2161,2009-11-18,8.54,-0.0161,200911
2162,2009-11-19,8.76,0.0258,200911
2163,2009-11-20,8.70,-0.0068,200911
2164,2009-11-23,9.57,0.1000,200911
