_Stkcd,month,月收益率_Monret
4,2021/11/30,0.1209
4,2021/12/31,0.0319
5,2000/01/28,0.3659
5,2000/02/29,0.04
5,2000/03/31,0.0466
5,2000/04/28,0.0167
5,2000/05/31,0.0953
5,2000/06/29,0.037
5,2000/07/31,-0.0357
5,2000/08/31,-0.0064
5,2000/09/29,-0.1565
5,2000/10/31,0.0592
5,2000/11/30,0.0522
5,2000/12/29,-0.0371
5,2001/01/19,0.1177
5,2001/02/28,-0.0938
5,2001/03/30,0.1137
5,2001/04/30,-0.094
5,2001/05/31,0.0722
5,2001/06/29,-0.0331
5,2001/07/31,-0.1422
5,2001/08/31,-0.0884
5,2001/09/28,-0.034
5,2001/10/31,-0.0335
5,2001/11/30,0.0364
5,2001/12/31,-0.0914
5,2002/01/31,-0.1973
5,2002/02/28,0.1133
5,2002/03/29,0.1342
5,2002/04/30,0.0401
5,2002/05/31,-0.0789
5,2002/06/28,0.3586
5,2002/07/31,-0.1144
5,2002/08/30,0.0166
5,2002/09/27,-0.057
5,2002/10/31,-0.0484
5,2002/11/29,-0.0962
5,2002/12/31,-0.0843
5,2003/01/29,0.1009
5,2003/02/28,0.004
5,2003/03/31,-0.0675
5,2003/04/30,-0.2362
5,2003/05/30,0.039
5,2003/06/30,-0.0938
5,2003/07/31,-0.0947
5,2003/08/29,0.0523
5,2003/09/30,-0.0217
5,2003/10/31,-0.019
5,2003/11/28,-0.0583
5,2003/12/31,-0.0825
5,2004/01/30,0.0674
5,2004/02/27,0.2351
5,2004/03/31,0.0199
5,2004/04/30,-0.0891
5,2004/05/31,-0.052
5,2004/06/30,-0.1419
5,2004/07/30,0.0526
5,2004/08/31,-0.0143
5,2004/09/30,-0.0254
5,2004/10/29,-0.1636
5,2004/11/30,0.0311
5,2004/12/31,-0.0517
5,2005/01/31,-0.0455
5,2005/02/28,0.0762
5,2005/03/31,-0.1283
5,2005/04/29,-0.1777
5,2005/05/31,-0.0988
5,2005/06/30,-0.137
5,2005/07/29,0.0079
5,2005/08/31,0.1417
5,2005/09/30,0.0621
5,2005/10/31,-0.0649
5,2005/11/30,0.0694
5,2005/12/30,0.0649
5,2006/01/25,0.0183
5,2006/02/28,0.0719
5,2006/03/31,-0.0056
5,2006/04/28,0.3989
5,2006/05/31,0.4056
5,2006/06/05,0.1486
5,2006/07/31,-0.4801
5,2006/08/31,0.2871
5,2006/09/29,-0.0223
5,2006/10/31,-0.0494
5,2006/11/30,0.004
5,2006/12/29,-0.008
5,2007/01/31,0.2008
5,2007/02/28,0.3813
5,2007/03/30,0.4334
5,2007/04/26,0.3041
5,2007/05/21,0.1528
5,2007/06/29,
5,2007/07/31,-0.1584
5,2007/08/31,0.0668
5,2007/09/28,-0.015
5,2007/10/31,-0.0762
5,2007/11/30,-0.1761
5,2007/12/28,0.187
5,2008/01/31,-0.0281
5,2008/02/29,0.0535
5,2008/03/31,-0.0577
5,2008/04/30,-0.1735
5,2008/05/30,-0.1658
5,2008/06/30,-0.1924
5,2008/07/31,-0.1126
5,2008/08/29,-0.2242
5,2008/09/26,0
5,2008/10/31,-0.2624
5,2008/11/28,0.2113
5,2008/12/31,0.0553
5,2009/01/23,0.1089
5,2009/02/27,0.0764
5,2009/03/31,0.277
5,2009/04/30,-0.0714
5,2009/05/27,0.1567
5,2009/06/30,0.032
5,2009/07/31,0.1575
5,2009/08/31,-0.2392
5,2009/09/30,0.1057
5,2009/10/30,0.1152
5,2009/11/30,0.3846
5,2009/12/31,-0.0444
5,2010/01/29,-0.1047
5,2010/02/26,0.0371
5,2010/03/31,0.0662
5,2010/04/30,-0.1963
5,2010/05/31,-0.0898
5,2010/06/30,-0.1216
5,2010/07/30,0.2193
5,2010/08/31,0.0428
5,2010/09/30,-0.1027
5,2010/10/29,-0.0092
5,2010/11/30,-0.1109
5,2010/12/31,-0.0468
5,2011/01/31,-0.0463
5,2011/02/28,0.2143
5,2011/03/31,-0.0471
5,2011/04/29,-0.0469
5,2011/05/31,
5,2011/06/30,
5,2011/07/29,
5,2011/08/31,
5,2011/09/30,
5,2011/10/31,
5,2011/11/30,
5,2011/12/30,
5,2012/01/31,
5,2012/02/29,
5,2012/03/30,
5,2012/04/27,0.0285
5,2012/05/31,-0.1108
5,2012/06/29,-0.1473
5,2012/07/31,-0.093
5,2012/08/31,0.0183
5,2012/09/28,0.0252
5,2012/10/31,0.0175
5,2012/11/30,-0.131
5,2012/12/31,0.1786
5,2013/01/31,0.0438
5,2013/02/28,-0.029
5,2013/03/29,-0.103
5,2013/04/26,-0.0333
5,2013/05/31,0.0536
5,2013/06/28,-0.1709
5,2013/07/31,-0.0395
5,2013/08/30,0.1735
5,2013/09/30,-0.0428
5,2013/10/31,0.0772
5,2013/11/29,0.0038
5,2013/12/31,-0.0602
5,2014/01/30,-0.06
5,2014/02/28,0
5,2014/03/31,0.0766
5,2014/04/30,-0.0949
5,2014/05/30,-0.0175
5,2014/06/30,0.0044
5,2014/07/31,0.1062
5,2014/08/29,0.032
5,2014/09/30,0.531
5,2014/10/31,-0.0127
5,2014/11/28,0.0256
5,2014/12/26,0.025
5,2015/01/30,
5,2015/02/27,
5,2015/03/31,
5,2015/04/30,
5,2015/05/29,2.8585
5,2015/06/30,-0.4197
5,2015/07/31,-0.1743
5,2015/08/26,-0.2243
