

     Angle,       PSD,
   20.9539,       554,
   20.9639,       549,
   20.9738,       549,
   20.9838,       586,
   20.9938,       564,
   21.0038,       602,
   21.0137,       581,
   21.0237,       563,
   21.0337,       530,
   21.0437,       538,
   21.0536,       577,
   21.0636,       562,
   21.0736,       576,
   21.0836,       540,
   21.0935,       557,
   21.1035,       598,
   21.1135,       581,
   21.1235,       620,
   21.1335,       611,
   21.1434,       561,
   21.1534,       555,
   21.1634,       574,
   21.1734,       579,
   21.1833,       531,
   21.1933,       566,
   21.2033,       551,
   21.2133,       575,
   21.2232,       536,
   21.2332,       541,
   21.2432,       524,
   21.2532,       578,
   21.2631,       600,
   21.2731,       608,
   21.2831,       559,
   21.2931,       570,
    21.303,       564,
    21.313,       606,
    21.323,       548,
    21.333,       573,
    21.343,       591,
   21.3529,       571,
   21.3629,       555,
   21.3729,       579,
   21.3829,       546,
   21.3928,       561,
   21.4028,       549,
   21.4128,       564,
   21.4228,       566,
   21.4327,       566,
   21.4427,       581,
   21.4527,       546,
   21.4627,       573,
   21.4726,       559,
   21.4826,       514,
   21.4926,       613,
   21.5026,       602,
   21.5125,       595,
   21.5225,       508,
   21.5325,       540,
   21.5425,       585,
   21.5525,       566,
   21.5624,       592,
   21.5724,       582,
   21.5824,       546,
   21.5924,       567,
   21.6023,       570,
   21.6123,       567,
   21.6223,       606,
   21.6323,       578,
   21.6422,       608,
   21.6522,       589,
   21.6622,       552,
   21.6722,       581,
   21.6821,       615,
   21.6921,       565,
   21.7021,       605,
   21.7121,       589,
    21.722,       571,
    21.732,       565,
    21.742,       586,
    21.752,       567,
    21.762,       529,
   21.7719,       504,
   21.7819,       605,
   21.7919,       564,
   21.8019,       585,
   21.8118,       573,
   21.8218,       601,
   21.8318,       572,
   21.8418,       605,
   21.8517,       581,
   21.8617,       563,
   21.8717,       582,
   21.8817,       633,
   21.8916,       565,
   21.9016,       608,
   21.9116,       574,
   21.9216,       570,
   21.9315,       617,
   21.9415,       569,
   21.9515,       581,
   21.9615,       541,
   21.9715,       551,
   21.9814,       576,
   21.9914,       591,
   22.0014,       561,
   22.0114,       580,
   22.0213,       573,
   22.0313,       581,
   22.0413,       621,
   22.0513,       591,
   22.0612,       582,
   22.0712,       584,
   22.0812,       592,
   22.0912,       558,
   22.1011,       593,
   22.1111,       604,
   22.1211,       618,
   22.1311,       621,
