,yyyymm,Ret,Rfree,ExRet,DP,EP,VOL,BILL,BOND,TERM,CREDIT,PPIG,IPG,MA112,MA312,MOM6,DPL1,EPL1,VOLL1,BILLL1,BONDL1,TERML1,CREDITL1,PPIGL1,IPGL1,MA112L1,MA312L1,MOM6L1
364,195705,0.038734,0.002550,0.036184,-3.311134,-2.631567,0.139737,0.002108,0.001900,0.0041,0.0026,-0.321543,-0.368656,1,0,1,-3.274852,-2.597238,0.146857,0.002600,0.002008,0.0037,0.0022,0.322581,-1.335297,0.0,0.0,1.0
365,195706,-0.000705,0.002742,-0.003447,-3.309868,-2.628349,0.125915,0.001633,0.002683,0.0055,0.0030,0.322581,0.246977,1,1,1,-3.311134,-2.631567,0.139737,0.002108,0.001900,0.0041,0.0026,-0.321543,-0.368656,1.0,0.0,1.0
366,195707,0.009747,0.002633,0.007114,-3.315439,-2.634821,0.110835,0.003267,0.002650,0.0036,0.0034,0.643087,0.615478,1,1,1,-3.309868,-2.628349,0.125915,0.001633,0.002683,0.0055,0.0030,0.322581,0.246977,1.0,1.0,1.0
367,195708,-0.048998,0.002808,-0.051806,-3.251924,-2.572200,0.116700,0.001258,0.002500,0.0051,0.0043,0.319489,0.000000,0,1,1,-3.315439,-2.634821,0.110835,0.003267,0.002650,0.0036,0.0034,0.643087,0.615478,1.0,1.0,1.0
368,195709,-0.057879,0.002942,-0.060821,-3.182306,-2.503465,0.121713,0.002717,0.001867,0.0027,0.0048,-0.318471,-0.856575,0,0,0,-3.251924,-2.572200,0.116700,0.001258,0.002500,0.0051,0.0043,0.319489,0.000000,0.0,1.0,1.0
369,195710,-0.038834,0.002983,-0.041817,-3.144055,-2.480531,0.133368,0.003742,0.002033,0.0016,0.0041,-0.319489,-1.481865,0,0,0,-3.182306,-2.503465,0.121713,0.002717,0.001867,0.0027,0.0048,-0.318471,-0.856575,0.0,0.0,0.0
370,195711,0.023703,0.002758,0.020945,-3.154367,-2.506226,0.141249,0.003675,-0.000925,-0.0018,0.0068,0.320513,-2.380672,0,0,0,-3.144055,-2.480531,0.133368,0.003742,0.002033,0.0016,0.0041,-0.319489,-1.481865,0.0,0.0,0.0
371,195712,-0.037422,0.002533,-0.039955,-3.106414,-2.473717,0.141661,0.000708,-0.002442,-0.0008,0.0058,0.319489,-1.925582,0,0,0,-3.154367,-2.506226,0.141249,0.003675,-0.000925,-0.0018,0.0068,0.320513,-2.380672,0.0,0.0,0.0
372,195801,0.045518,0.002033,0.043485,-3.152019,-2.538602,0.143571,-0.001850,-0.001758,0.0026,0.0030,0.318471,-1.832464,0,0,0,-3.106414,-2.473717,0.141661,0.000708,-0.002442,-0.0008,0.0058,0.319489,-1.925582,0.0,0.0,0.0
373,195802,-0.014109,0.001275,-0.015384,-3.134921,-2.541315,0.139660,-0.007292,-0.002233,0.0081,0.0034,0.000000,-2.133407,0,0,0,-3.152019,-2.538602,0.143571,-0.001850,-0.001758,0.0026,0.0030,0.318471,-1.832464,0.0,0.0,0.0
374,195803,0.033052,0.001083,0.031969,-3.169068,-2.595825,0.142998,-0.015083,-0.002550,0.0168,0.0042,0.634921,-1.225986,0,0,0,-3.134921,-2.541315,0.139660,-0.007292,-0.002233,0.0081,0.0034,0.000000,-2.133407,0.0,0.0,0.0
375,195804,0.033511,0.000942,0.032569,-3.207961,-2.649703,0.138285,-0.015900,-0.003267,0.0181,0.0049,-0.315457,-1.655103,1,0,1,-3.169068,-2.595825,0.142998,-0.015083,-0.002550,0.0168,0.0042,0.634921,-1.225986,0.0,0.0,0.0
